cartodb_id,the_geom,adaptive_s,level,location,name,school_id,count,quads,significance,moran,vals
2,0101000020E6100000839ECDAACF7D52C0002B8716D9564440,false,4,"80 Underhill Avenue, Brooklyn, NY 11238",PS 9K,K009,91,HH,0.029999999999999999,2.5225320015414674,91.0
4,0101000020E61000005AD3BCE3147D52C02EBB270F0B5D4440,false,4,"75 Meserole Avenue, Brooklyn, NY 11222",PS 31K,K031,92,HH,0.01,2.8390152019044748,92.0
5,0101000020E6100000686FF085C97C52C03DE8D9ACFA5C4440,false,4,"131 Norman Avenue, Brooklyn, NY 11222",PS 34K,K034,85,HH,0.01,2.5685944889405254,85.0
14,0101000020E610000069BC7493188052C098BB96900F524440,false,4,"4812 9th Avenue, Brooklyn, NY 11220",IS 220K,K220,8,LL,0.02,0.27476230751086694,8.0
16,0101000020E610000028ED0DBE308152C0253108AC1C524440,false,4,"330 59 Street, Brooklyn, NY 11220",PS314/503K,K314,294,HL,0.02,-3.3194554150216207,294.0
23,0101000020E61000006FCE88D2DE8052C04E401361C35B4440,false,4,"201 Warren Street, NYC, NY 10282",IS/PS 89M,M089,100,HH,0.01,6.228167514659769,100.0
39,0101000020E61000001D85EB51B88E52C06EF085C954414440,false,4,"555 Page Ave., Staten Island, NY 10307",PS 6R,R006,3,LL,0.029999999999999999,0.35847648470805582,3.0
40,0101000020E6100000974C158C4A8652C0CEF753E3A54B4440,false,4,"50 Jefferson Street, Staten Island, NY 10304",PS 11R,R011,10,LL,0.01,0.29673920810714755,10.0
42,0101000020E6100000701B0DE02D8C52C05C6DC5FEB24B4440,false,4,"4108 Victory Boulevard, Staten Island, NY 10314",PS 26R,R026,7,LL,0.02,0.29022755849346055,7.0
43,0101000020E6100000CD66D5E76A8752C0019A081B9E4E4440,false,4,"1581 Victory Boulevard, Staten Island, NY 10314",PS 29R,R029,1,LL,0.01,0.38869056552359132,1.0
44,0101000020E610000051B81E85EB8952C08095438B6C474440,false,4,"32 Elverton Avenue,  Staten Island, NY 10308",PS 32R,R032,1,LL,0.01,0.41243423916859528,1.0
45,0101000020E61000008E537424978F52C0EF164850FC404440,false,4,"528 Academy Street, Staten Island, NY 10307",IS 34R,R034,11,LL,0.01,0.2743046494319808,11.0
46,0101000020E610000071F90FE9B78B52C02EDD240681454440,false,4,"255 Ionia Avenue, Staten Island, NY 10312",PS 36R,R036,1,LL,0.01,0.38869056552359132,1.0
48,0101000020E6100000CCCCCCCCCC8852C04BA60A46254D4440,false,4,"1060 Willowbrook Road, Staten Island, NY 10314",PS 54R,R054,1,LL,0.02,0.32537410247024734,1.0
50,0101000020E610000082C0CAA1458A52C0506B9A779C4A4440,false,4,"77 Marsh Avenue, Staten Island, NY 10314",PS 58R,R058,1,LL,0.029999999999999999,0.36890417081942134,1.0
51,0101000020E6100000907EFB3A708A52C002780B24284E4440,false,4,"55 Merrill Avenue, Staten Island, NY 10314",PS 60R,R060,19,LL,0.01,0.15300197650278538,19.0
71,0101000020E6100000E6FBA9F1D28152C08A4AEA0434514440,false,4,"211 72nd Street, Brooklyn, NY 11209",PS 102K,K102,6,LH,0.01,-1.4171397420686362,6.0
73,0101000020E6100000148C4AEA048052C09CEFA7C64B4F4440,false,4,"7115 15th Avenue, Brooklyn, NY 11228",PS 112K,K112,9,LL,0.01,0.30272202316747049,9.0
84,0101000020E6100000898EE4F21F8252C0F041CF66D54F4440,false,4,"8601 Ridge Blvd., Brooklyn, NY 11209",PS 185K,K185,240,HH,0.029999999999999999,6.4498310122049389,240.0
102,0101000020E6100000845AD3BCE38052C0D85F764F1E4E4440,false,4,"1400 Benson Avenue, Brooklyn, NY 11228",PS  229K,K229,42,HL,0.02,-0.16142708411080275,42.0
121,0101000020E6100000141DC9E53F8052C06FAC8BDB68504440,false,4,"1171 65th Street, Brooklyn 11219",IS 187K,K486,5,LL,0.040000000000000001,0.27071123527188912,5.0
125,0101000020E6100000004D840D4F7F52C03F1361C3D35B4440,false,4,"350 Grand Street, NYC, NY 10002",Seward Park Educational Campus,M447,282,HH,0.029999999999999999,8.3874435644920204,282.0
145,0101000020E61000000E9C33A2B47352C05739B4C876564440,false,4,"130-01 Rockaway Blvd., Queens, NY 11420",PS 96Q,Q096,21,LL,0.01,0.12593496018028827,21.0
165,0101000020E6100000A3703D0AD77352C0B9B88D06F0564440,false,4,"130-02 115th Avenue, Queens, NY 11420",PS 155Q,Q155,9,LL,0.029999999999999999,0.253813141989992,9.0
176,0101000020E61000000A24287E8C8D52C0413EE8D9AC424440,false,4,"80 South Goff Avenue, Staten Island, NY 10309",PS 3R,R003,6,LL,0.01,0.32893758259901651,6.0
177,0101000020E6100000627FD93D798C52C0F36C567DAE464440,false,4,"200 Nedra Place, Staten Island, NY",PS 4R,R004,6,LL,0.01,0.34863018400504275,6.0
182,0101000020E61000005E07CE19518652C08A4AEA0434514440,false,4,"445 Castleton Avenue, Staten Island, NY 10301",IS 61R,R061,6,LL,0.02,0.3125270814273281,6.0
183,0101000020E61000002C90A0F8318A52C0EAE2361AC04B4440,false,4,"033 Ferndale Avenue, Staten Island, NY 10314",IS 72R,R072,3,LL,0.02,0.34372765487511397,3.0
203,0101000020E6100000B5847CD0B37952C0FEB27BF2B0684440,false,4,"750 Prospect Avenue, Bronx, NY 10455",PS 130X,X130,28,LL,0.029999999999999999,0.027775949868254816,28.0
206,0101000020E610000038D6C56D348052C07C8CB96B09514440,false,4,"1031 59 St, Brooklyn, NY 11219",PS 105K,K105,19,LL,0.029999999999999999,0.14384216291810156,19.0
213,0101000020E6100000BCC11726538952C0E5FBA9F1D2454440,false,4,"225 Cleveland Street, Staten Island, NY 10308",IS 24R,R024,10,LL,0.01,0.31044899445285085,10.0
217,0101000020E6100000CC3B4ED1918852C0E1E995B20C494440,false,4,"30 Netick Street, Staten Island, NY 10306",PS 23R,R023,5,LL,0.01,0.36980817856536075,5.0
